event,team,fixture_difficulty,GS,GA,opponent,is_home
12.0,1,4,0.0,2.0,9,0
12.0,2,3,1.0,2.0,20,0
12.0,3,3,1.0,2.0,13,0
12.0,4,4,1.0,3.0,12,0
12.0,5,2,3.0,0.0,19,1
12.0,6,3,2.0,0.0,7,1
12.0,7,4,0.0,2.0,6,0
12.0,8,2,2.0,1.0,16,0
12.0,9,4,2.0,0.0,1,1
12.0,10,4,3.0,1.0,11,1
12.0,11,5,1.0,3.0,10,0
12.0,12,2,3.0,1.0,4,1
12.0,13,2,2.0,1.0,3,1
12.0,14,2,0.0,2.0,18,1
12.0,15,4,1.0,1.0,17,0
12.0,16,2,1.0,2.0,8,1
12.0,17,3,1.0,1.0,15,1
12.0,18,2,2.0,0.0,14,0
12.0,19,3,0.0,3.0,5,0
12.0,20,2,2.0,1.0,2,1
