event,team,fixture_difficulty,GS,GA,opponent,is_home
22.0,1,2,0.0,1.0,8,0
22.0,2,3,2.0,4.0,10,1
22.0,3,3,0.0,1.0,5,0
22.0,4,2,3.0,0.0,17,1
22.0,5,2,1.0,0.0,3,1
22.0,6,2,0.0,0.0,9,1
22.0,7,4,1.0,2.0,14,0
22.0,8,4,1.0,0.0,1,1
22.0,9,4,0.0,0.0,6,0
22.0,10,2,4.0,2.0,2,0
22.0,11,4,2.0,2.0,14,0
22.0,11,2,0.0,1.0,16,0
22.0,12,2,0.0,3.0,20,0
22.0,13,4,0.0,1.0,18,0
22.0,14,2,2.0,1.0,7,1
22.0,14,2,2.0,2.0,11,1
22.0,15,2,1.0,1.0,19,1
22.0,16,2,1.0,0.0,11,1
22.0,17,3,0.0,3.0,4,0
22.0,18,5,1.0,0.0,13,1
22.0,19,3,1.0,1.0,15,0
22.0,20,4,3.0,0.0,12,1
