event,team,fixture_difficulty,GS,GA,opponent,is_home
19.0,1,2,3.0,0.0,14,1
19.0,2,5,0.0,2.0,12,0
19.0,2,2,2.0,0.0,14,1
19.0,3,3,1.0,0.0,10,0
19.0,4,5,1.0,0.0,11,0
19.0,4,3,0.0,1.0,19,0
19.0,5,4,0.0,2.0,9,0
19.0,5,2,1.0,0.0,8,0
19.0,6,5,0.0,4.0,12,0
19.0,8,4,0.0,1.0,5,1
19.0,8,4,1.0,2.0,13,1
19.0,9,4,2.0,0.0,5,1
19.0,9,3,2.0,0.0,16,1
19.0,10,2,0.0,1.0,3,1
19.0,11,2,0.0,1.0,4,1
19.0,11,4,0.0,0.0,13,1
19.0,12,3,2.0,0.0,2,1
19.0,12,3,4.0,0.0,6,1
19.0,13,5,0.0,0.0,11,0
19.0,13,2,2.0,1.0,8,0
19.0,14,3,0.0,2.0,2,0
19.0,14,3,0.0,3.0,1,0
19.0,15,4,1.0,3.0,17,1
19.0,16,4,0.0,2.0,9,0
19.0,17,2,3.0,1.0,15,0
19.0,18,3,1.0,2.0,19,0
19.0,18,3,3.0,2.0,20,0
19.0,19,2,1.0,0.0,4,1
19.0,19,2,2.0,1.0,18,1
19.0,20,2,2.0,3.0,18,1
