event,team,fixture_difficulty,GS,GA,opponent,is_home
34,1,3,3.0,1.0,6,1
34,2,4,0.0,1.0,14,0
34,3,2,4.0,1.0,11,1
34,4,2,2.0,1.0,16,1
34,5,3,1.0,0.0,14,1
34,5,2,6.0,0.0,20,1
34,6,4,1.0,3.0,1,0
34,7,2,4.0,3.0,19,1
34,8,3,2.0,2.0,10,0
34,9,4,0.0,1.0,12,0
34,9,5,1.0,2.0,13,1
34,10,2,2.0,2.0,8,1
34,11,2,1.0,4.0,3,0
34,12,2,1.0,0.0,9,1
34,12,3,4.0,3.0,18,1
34,13,2,3.0,0.0,19,1
34,13,2,2.0,1.0,9,0
34,14,2,1.0,0.0,2,1
34,14,3,0.0,1.0,5,0
34,15,2,3.0,1.0,17,1
34,16,3,1.0,2.0,4,0
34,17,4,1.0,3.0,15,0
34,18,4,3.0,4.0,12,0
34,19,5,0.0,3.0,13,0
34,19,2,3.0,4.0,7,0
34,20,3,0.0,6.0,5,0
