event,team,fixture_difficulty,GS,GA,opponent,is_home
29.0,1,2,4.0,1.0,11,1
29.0,2,3,2.0,1.0,10,0
29.0,2,4,2.0,0.0,6,0
29.0,3,2,2.0,1.0,9,1
29.0,3,3,0.0,2.0,5,1
29.0,4,3,3.0,3.0,5,0
29.0,4,4,0.0,1.0,14,0
29.0,5,2,2.0,0.0,3,0
29.0,5,3,3.0,3.0,4,1
29.0,6,4,0.0,0.0,12,1
29.0,6,2,0.0,2.0,2,1
29.0,7,3,2.0,1.0,10,1
29.0,8,3,1.0,1.0,18,1
29.0,9,2,1.0,2.0,3,0
29.0,10,2,1.0,2.0,2,1
29.0,10,2,1.0,2.0,7,0
29.0,11,2,2.0,1.0,16,1
29.0,11,4,1.0,4.0,1,0
29.0,12,5,1.0,4.0,13,0
29.0,12,4,0.0,0.0,6,0
29.0,13,4,4.0,1.0,12,1
29.0,14,3,1.0,0.0,4,1
29.0,14,4,0.0,2.0,15,0
29.0,15,3,2.0,0.0,14,1
29.0,15,3,5.0,1.0,19,0
29.0,16,2,1.0,1.0,20,1
29.0,16,2,1.0,2.0,11,0
29.0,17,3,0.0,1.0,19,0
29.0,18,2,1.0,1.0,8,0
29.0,19,2,1.0,0.0,17,1
29.0,19,3,1.0,5.0,15,1
29.0,20,2,1.0,1.0,16,0
