event,team,fixture_difficulty,GS,GA,opponent,is_home
26,1,3,2,1,20,1
26,1,2,2,1,3,1
26,2,2,0,1,18,1
26,3,4,1,2,1,0
26,4,2,0,3,5,1
26,5,2,3,0,4,0
26,5,3,1,0,17,1
26,6,2,1,0,7,0
26,7,2,4,1,18,0
26,7,4,0,1,6,1
26,8,3,0,2,16,0
26,9,3,1,2,20,0
26,10,3,2,4,13,1
26,10,5,0,6,11,0
26,11,2,3,1,15,1
26,11,2,6,0,10,1
26,12,3,2,3,17,1
26,13,2,4,2,10,0
26,14,3,1,1,19,0
26,15,5,1,3,11,0
26,16,2,2,0,8,1
26,17,2,0,1,5,0
26,17,5,3,2,12,0
26,18,2,1,0,2,0
26,18,2,1,4,7,1
26,19,2,1,1,14,1
26,20,2,2,1,9,1
26,20,4,1,2,1,0
