event,team,fixture_difficulty,GS,GA,opponent,is_home
28,1,2,3,2,18,0
28,2,2,3,0,10,0
28,2,2,4,0,16,1
28,3,2,3,1,15,0
28,4,3,1,2,14,0
28,5,4,0,4,6,1
28,6,2,4,0,5,0
28,6,2,3,1,15,0
28,7,3,2,0,20,0
28,8,4,0,5,17,0
28,9,2,1,0,10,1
28,10,3,0,1,9,0
28,10,2,0,3,2,1
28,11,3,1,0,19,1
28,12,3,4,1,13,1
28,13,5,1,4,12,0
28,14,2,2,1,4,1
28,14,3,2,1,16,0
28,15,2,1,3,3,1
28,15,4,1,3,6,1
28,16,2,0,4,2,0
28,16,2,1,2,14,1
28,17,2,5,0,8,1
28,18,3,0,4,20,0
28,18,4,2,3,1,1
28,19,5,0,1,11,0
28,20,2,4,0,18,1
28,20,2,0,2,7,1
