event,team,fixture_difficulty,GS,GA,opponent,is_home
13.0,1,3,1.0,1.0,16,1
13.0,2,2,0.0,0.0,4,1
13.0,3,2,0.0,0.0,8,0
13.0,4,3,0.0,0.0,2,0
13.0,5,3,1.0,2.0,20,0
13.0,6,3,1.0,1.0,19,0
13.0,7,4,2.0,0.0,9,0
13.0,8,2,0.0,0.0,3,1
13.0,9,3,0.0,2.0,7,1
13.0,10,2,5.0,2.0,14,1
13.0,11,4,2.0,1.0,17,1
13.0,12,2,1.0,1.0,18,1
13.0,13,2,3.0,2.0,15,0
13.0,14,3,2.0,5.0,10,0
13.0,15,4,2.0,3.0,13,1
13.0,16,3,1.0,1.0,1,0
13.0,17,5,1.0,2.0,11,0
13.0,18,5,1.0,1.0,12,0
13.0,19,3,1.0,1.0,6,1
13.0,20,4,2.0,1.0,5,1
