event,team,fixture_difficulty,GS,GA,opponent,is_home
25.0,1,5,0.0,1.0,12,1
25.0,2,4,1.0,2.0,9,1
25.0,3,3,1.0,2.0,6,1
25.0,4,2,0.0,0.0,18,1
25.0,5,3,1.0,1.0,16,0
25.0,6,2,2.0,1.0,3,0
25.0,7,4,2.0,0.0,11,0
25.0,8,2,1.0,0.0,15,1
25.0,9,3,2.0,1.0,2,0
25.0,10,3,0.0,1.0,20,0
25.0,10,2,3.0,0.0,16,1
25.0,11,4,0.0,2.0,7,1
25.0,12,3,1.0,0.0,1,0
25.0,13,2,3.0,1.0,14,1
25.0,14,4,1.0,3.0,13,0
25.0,15,2,0.0,1.0,8,0
25.0,16,4,1.0,1.0,5,1
25.0,16,3,0.0,3.0,10,0
25.0,17,4,1.0,2.0,19,0
25.0,18,2,0.0,0.0,4,0
25.0,19,3,2.0,1.0,17,1
25.0,20,3,1.0,0.0,10,1
