event,team,fixture_difficulty,GS,GA,opponent,is_home
26.0,1,4,3.0,1.0,9,0
26.0,2,3,1.0,0.0,10,0
26.0,2,2,0.0,1.0,15,0
26.0,3,2,0.0,1.0,18,0
26.0,4,4,1.0,1.0,9,1
26.0,4,4,0.0,4.0,17,0
26.0,5,4,0.0,0.0,13,1
26.0,5,4,1.0,0.0,11,0
26.0,6,2,0.0,0.0,8,1
26.0,6,4,0.0,0.0,13,1
26.0,7,2,1.0,0.0,18,0
26.0,7,2,1.0,0.0,16,1
26.0,8,3,0.0,0.0,6,0
26.0,8,3,0.0,1.0,17,1
26.0,9,2,1.0,1.0,4,0
26.0,9,3,1.0,3.0,1,1
26.0,10,3,0.0,1.0,2,1
26.0,11,4,0.0,1.0,5,1
26.0,11,2,2.0,0.0,15,0
26.0,12,3,4.0,1.0,20,1
26.0,12,4,2.0,1.0,19,1
26.0,13,3,0.0,0.0,6,0
26.0,13,4,0.0,0.0,5,0
26.0,14,3,1.0,1.0,20,1
26.0,15,4,0.0,2.0,11,1
26.0,15,3,1.0,0.0,2,1
26.0,16,3,0.0,1.0,7,0
26.0,17,2,1.0,0.0,8,0
26.0,17,2,4.0,0.0,4,1
26.0,18,3,1.0,0.0,3,1
26.0,18,4,0.0,1.0,7,1
26.0,19,5,1.0,2.0,12,0
26.0,20,5,1.0,4.0,12,0
26.0,20,3,1.0,1.0,14,0
