event,team,fixture_difficulty,GS,GA,opponent,is_home
17.0,1,4,0.0,3.0,11,1
17.0,2,3,0.0,2.0,15,0
17.0,3,4,1.0,0.0,6,0
17.0,4,2,1.0,1.0,7,0
17.0,5,2,1.0,0.0,13,1
17.0,6,2,0.0,1.0,3,1
17.0,7,2,1.0,1.0,4,1
17.0,8,4,1.0,1.0,12,0
17.0,9,2,1.0,1.0,14,1
17.0,10,2,2.0,0.0,18,1
17.0,11,4,3.0,0.0,1,0
17.0,12,2,1.0,1.0,8,1
17.0,13,3,0.0,1.0,5,0
17.0,14,4,1.0,1.0,9,0
17.0,15,2,2.0,0.0,2,1
17.0,16,2,0.0,1.0,19,1
17.0,17,3,2.0,1.0,20,0
17.0,18,5,0.0,2.0,10,0
17.0,19,2,1.0,0.0,16,0
17.0,20,4,1.0,2.0,17,1
