event,team,fixture_difficulty,GS,GA,opponent,is_home
11.0,1,4,,,17,0
11.0,3,3,,,16,1
11.0,4,3,,,7,1
11.0,5,2,,,10,1
11.0,6,2,,,18,0
11.0,7,2,,,4,0
11.0,8,5,,,12,0
11.0,9,2,,,15,0
11.0,10,4,,,5,0
11.0,11,3,,,20,1
11.0,12,2,,,8,1
11.0,13,3,,,19,0
11.0,15,4,,,9,1
11.0,16,2,,,3,0
11.0,17,3,,,1,1
11.0,18,3,,,6,1
11.0,19,4,,,13,1
11.0,20,5,,,11,0
