event,team,fixture_difficulty,GS,GA,opponent,is_home
14.0,1,2,2.0,2.0,14,0
14.0,2,4,2.0,2.0,12,0
14.0,3,4,2.0,3.0,17,0
14.0,4,5,1.0,2.0,10,0
14.0,5,3,0.0,2.0,7,1
14.0,6,2,0.0,1.0,19,1
14.0,7,3,2.0,0.0,5,0
14.0,8,4,1.0,2.0,9,0
14.0,9,2,2.0,1.0,8,1
14.0,10,2,2.0,1.0,4,1
14.0,11,3,2.0,2.0,13,0
14.0,12,2,2.0,2.0,2,1
14.0,13,4,2.0,2.0,11,1
14.0,14,4,2.0,2.0,1,1
14.0,15,3,1.0,1.0,20,0
14.0,16,2,2.0,1.0,18,1
14.0,17,2,3.0,2.0,3,1
14.0,18,2,1.0,2.0,16,0
14.0,19,4,1.0,0.0,6,0
14.0,20,3,1.0,1.0,15,1
