event,team,fixture_difficulty,GS,GA,opponent,is_home
20.0,1,4,2.0,0.0,18,0
20.0,2,2,2.0,1.0,11,1
20.0,3,3,0.0,2.0,4,0
20.0,4,2,2.0,0.0,3,1
20.0,5,4,3.0,0.0,12,1
20.0,6,2,1.0,0.0,7,1
20.0,7,4,0.0,1.0,6,0
20.0,7,3,1.0,1.0,14,1
20.0,8,2,1.0,2.0,17,1
20.0,9,3,0.0,1.0,15,0
20.0,10,2,0.0,2.0,16,0
20.0,11,2,1.0,2.0,2,0
20.0,12,3,0.0,3.0,5,0
20.0,13,3,4.0,2.0,18,1
20.0,13,4,1.0,2.0,14,0
20.0,14,3,1.0,1.0,7,0
20.0,14,5,2.0,1.0,13,1
20.0,15,2,1.0,0.0,9,1
20.0,16,3,2.0,0.0,10,1
20.0,17,2,2.0,1.0,8,0
20.0,18,4,0.0,2.0,1,1
20.0,18,5,2.0,4.0,13,0
20.0,19,2,0.0,1.0,20,0
20.0,20,2,1.0,0.0,19,1
