event,team,fixture_difficulty,GS,GA,opponent,is_home
31.0,1,2,3.0,0.0,15,0
31.0,2,3,1.0,2.0,11,0
31.0,3,4,0.0,0.0,7,1
31.0,4,2,1.0,2.0,14,1
31.0,5,3,4.0,1.0,6,0
31.0,6,4,1.0,4.0,5,1
31.0,7,3,0.0,0.0,3,0
31.0,8,2,0.0,1.0,20,1
31.0,9,4,2.0,3.0,19,0
31.0,10,5,2.0,1.0,12,0
31.0,11,2,2.0,1.0,2,1
31.0,12,3,1.0,2.0,10,1
31.0,13,4,3.0,1.0,17,0
31.0,14,2,2.0,1.0,4,0
31.0,15,3,0.0,3.0,1,1
31.0,16,2,0.0,3.0,18,0
31.0,17,4,1.0,3.0,13,1
31.0,18,2,3.0,0.0,16,1
31.0,19,4,3.0,2.0,9,1
31.0,20,2,1.0,0.0,8,0
