event,team,fixture_difficulty,GS,GA,opponent,is_home
24.0,1,4,2.0,2.0,6,0
24.0,2,2,2.0,1.0,18,1
24.0,3,2,3.0,1.0,4,1
24.0,4,3,1.0,3.0,3,0
24.0,5,4,2.0,0.0,12,0
24.0,6,4,2.0,2.0,1,1
24.0,7,2,0.0,2.0,16,1
24.0,8,2,2.0,2.0,13,1
24.0,9,2,4.0,1.0,19,1
24.0,10,3,2.0,1.0,20,0
24.0,10,2,2.0,0.0,19,0
24.0,11,3,1.0,0.0,15,0
24.0,12,2,0.0,2.0,5,1
24.0,13,3,2.0,2.0,8,0
24.0,14,4,1.0,2.0,17,0
24.0,15,4,0.0,1.0,11,1
24.0,16,2,2.0,0.0,7,0
24.0,17,2,2.0,1.0,14,1
24.0,18,2,1.0,2.0,2,0
24.0,19,4,1.0,4.0,9,0
24.0,19,4,0.0,2.0,10,1
24.0,20,4,1.0,2.0,10,1
