event,team,fixture_difficulty,GS,GA,opponent,is_home
11.0,1,2,1.0,1.0,20,1
11.0,2,4,1.0,2.0,10,1
11.0,3,4,1.0,0.0,12,1
11.0,4,2,2.0,0.0,14,1
11.0,5,2,0.0,3.0,15,0
11.0,6,2,2.0,1.0,18,0
11.0,7,3,0.0,2.0,9,1
11.0,8,4,1.0,1.0,17,1
11.0,9,2,2.0,0.0,7,0
11.0,10,2,2.0,1.0,2,0
11.0,11,2,2.0,1.0,16,1
11.0,12,3,0.0,1.0,3,0
11.0,13,3,3.0,2.0,19,0
11.0,14,2,0.0,2.0,4,0
11.0,15,2,3.0,0.0,5,1
11.0,16,5,1.0,2.0,11,0
11.0,17,3,1.0,1.0,8,0
11.0,18,4,1.0,2.0,6,1
11.0,19,2,2.0,3.0,13,1
11.0,20,4,1.0,1.0,1,0
