event,team,fixture_difficulty,GS,GA,opponent,is_home
35,1,2,3.0,1.0,18,1
35,1,4,1.0,0.0,5,0
35,2,4,1.0,3.0,13,1
35,2,4,0.0,0.0,7,1
35,3,3,1.0,2.0,20,0
35,4,2,2.0,0.0,8,0
35,5,3,0.0,1.0,1,1
35,5,5,2.0,1.0,12,0
35,6,2,2.0,0.0,15,0
35,6,2,1.0,3.0,16,0
35,7,4,1.0,0.0,19,0
35,7,3,0.0,0.0,2,0
35,8,2,0.0,2.0,4,1
35,9,4,2.0,1.0,13,0
35,9,2,2.0,4.0,14,1
35,10,3,3.0,1.0,17,1
35,11,4,4.0,2.0,13,0
35,11,2,2.0,0.0,16,1
35,12,4,1.0,2.0,5,1
35,13,4,1.0,2.0,9,1
35,13,4,2.0,4.0,11,1
35,13,3,3.0,1.0,2,0
35,14,4,4.0,2.0,9,0
35,15,2,0.0,2.0,6,1
35,16,3,0.0,2.0,11,0
35,16,2,3.0,1.0,6,1
35,17,3,1.0,3.0,10,0
35,18,4,1.0,3.0,1,0
35,19,4,0.0,1.0,7,1
35,20,3,2.0,1.0,3,1
