event,team,fixture_difficulty,GS,GA,opponent,is_home
26.0,1,2,4.0,0.0,13,1
26.0,2,4,2.0,3.0,17,1
26.0,3,3,1.0,2.0,15,0
26.0,4,2,1.0,1.0,18,1
26.0,5,2,2.0,1.0,16,0
26.0,6,4,0.0,2.0,12,1
26.0,7,3,1.0,3.0,8,0
26.0,8,3,3.0,1.0,7,1
26.0,9,3,0.0,0.0,20,0
26.0,10,2,1.0,0.0,14,0
26.0,11,2,2.0,0.0,19,1
26.0,12,4,2.0,0.0,6,0
26.0,13,4,0.0,4.0,1,0
26.0,14,4,0.0,1.0,10,1
26.0,15,2,2.0,1.0,3,1
26.0,16,2,1.0,2.0,5,1
26.0,17,2,3.0,2.0,2,0
26.0,18,3,1.0,1.0,4,0
26.0,19,5,0.0,2.0,11,0
26.0,20,4,0.0,0.0,9,1
