event,team,fixture_difficulty,GS,GA,opponent,is_home
16.0,1,2,3.0,1.0,19,0
16.0,2,4,1.0,4.0,9,1
16.0,3,4,0.0,3.0,10,1
16.0,4,3,2.0,2.0,20,1
16.0,5,4,0.0,5.0,17,0
16.0,6,3,1.0,3.0,8,0
16.0,7,2,0.0,0.0,18,0
16.0,8,4,3.0,1.0,6,1
16.0,9,2,4.0,1.0,2,0
16.0,10,3,3.0,0.0,3,0
16.0,11,4,1.0,2.0,12,1
16.0,12,5,2.0,1.0,11,0
16.0,13,2,2.0,1.0,16,1
16.0,14,3,1.0,2.0,15,1
16.0,15,2,2.0,1.0,14,0
16.0,16,3,1.0,2.0,13,0
16.0,17,2,5.0,0.0,5,1
16.0,18,3,0.0,0.0,7,1
16.0,19,4,1.0,3.0,1,1
16.0,20,3,2.0,2.0,4,0
