event,team,fixture_difficulty,GS,GA,opponent,is_home
39,1,4,0.0,3.0,11,0
39,1,2,1.0,2.0,4,0
39,2,4,1.0,2.0,6,1
39,2,3,0.0,0.0,15,1
39,3,3,0.0,2.0,7,1
39,4,3,2.0,1.0,1,1
39,5,4,0.0,5.0,11,0
39,6,2,2.0,1.0,2,0
39,7,2,2.0,0.0,3,0
39,8,4,0.0,0.0,10,1
39,9,3,1.0,1.0,18,0
39,10,4,0.0,0.0,8,0
39,11,3,3.0,0.0,1,1
39,11,3,5.0,0.0,5,1
39,12,4,1.0,1.0,17,0
39,13,3,3.0,0.0,15,1
39,14,3,0.0,3.0,16,1
39,15,2,0.0,3.0,13,0
39,15,2,0.0,0.0,2,0
39,16,2,3.0,0.0,14,0
39,17,4,1.0,1.0,12,1
39,18,3,1.0,1.0,9,1
39,19,4,0.0,2.0,20,1
39,20,2,2.0,0.0,19,0
