event,team,fixture_difficulty,GS,GA,opponent,is_home
10.0,1,3,2.0,2.0,7,1
10.0,2,5,0.0,3.0,11,0
10.0,3,2,0.0,0.0,18,0
10.0,4,2,3.0,2.0,8,1
10.0,5,4,2.0,4.0,6,1
10.0,6,3,4.0,2.0,5,0
10.0,7,4,2.0,2.0,1,0
10.0,8,2,2.0,3.0,4,0
10.0,9,2,9.0,0.0,16,0
10.0,10,4,2.0,1.0,17,1
10.0,11,2,3.0,0.0,2,1
10.0,12,2,3.0,1.0,14,0
10.0,13,2,1.0,1.0,20,1
10.0,14,4,1.0,3.0,12,1
10.0,15,3,1.0,1.0,19,0
10.0,16,3,0.0,9.0,9,1
10.0,17,5,1.0,2.0,10,0
10.0,18,2,0.0,0.0,3,1
10.0,19,2,1.0,1.0,15,1
10.0,20,2,1.0,1.0,13,0
