event,team,fixture_difficulty,GS,GA,opponent,is_home
36,1,4,0,3,17,0
36,1,2,2,1,10,1
36,2,2,3,1,5,0
36,2,4,1,2,11,1
36,3,2,3,0,16,1
36,4,3,4,0,13,1
36,5,2,1,3,2,1
36,6,3,2,2,20,1
36,6,2,3,0,10,0
36,7,2,1,0,18,1
36,8,3,2,1,9,0
36,8,2,0,0,18,0
36,9,2,3,0,15,1
36,9,2,1,2,8,1
36,10,4,1,2,1,0
36,10,4,0,3,6,1
36,11,2,2,1,2,0
36,11,3,1,1,17,1
36,12,3,5,1,20,0
36,12,2,5,0,14,1
36,13,2,0,4,4,0
36,14,5,0,5,12,0
36,15,3,0,3,9,0
36,15,3,0,4,19,1
36,16,2,0,3,3,0
36,17,5,1,1,11,0
36,17,4,3,0,1,1
36,18,2,0,1,7,0
36,18,2,0,0,8,1
36,19,2,4,0,15,0
36,20,4,2,2,6,0
36,20,5,1,5,12,1
