event,team,fixture_difficulty,GS,GA,opponent,is_home
25.0,1,3,0.0,0.0,5,0
25.0,2,3,1.0,2.0,3,0
25.0,3,2,2.0,1.0,2,1
25.0,4,2,3.0,3.0,19,0
25.0,5,4,0.0,0.0,1,1
25.0,6,4,2.0,2.0,9,0
25.0,7,3,0.0,1.0,15,1
25.0,8,2,3.0,2.0,18,0
25.0,9,4,2.0,2.0,6,1
25.0,10,2,4.0,0.0,16,1
25.0,11,4,0.0,2.0,17,0
25.0,12,3,0.0,0.0,20,1
25.0,13,2,0.0,0.0,14,1
25.0,14,3,0.0,0.0,13,0
25.0,15,2,1.0,0.0,7,0
25.0,16,5,0.0,4.0,10,0
25.0,17,4,2.0,0.0,11,1
25.0,18,2,2.0,3.0,8,1
25.0,19,2,3.0,3.0,4,1
25.0,20,4,0.0,0.0,12,0
