event,team,fixture_difficulty,GS,GA,opponent,is_home
27.0,1,2,3.0,0.0,9,0
27.0,2,3,1.0,1.0,19,0
27.0,3,4,1.0,0.0,12,1
27.0,4,2,2.0,0.0,17,0
27.0,4,2,0.0,1.0,8,0
27.0,5,2,2.0,2.0,11,0
27.0,5,2,1.0,0.0,7,1
27.0,6,3,3.0,1.0,10,0
27.0,7,5,0.0,1.0,13,1
27.0,7,3,0.0,1.0,5,0
27.0,8,3,1.0,0.0,4,1
27.0,9,4,0.0,3.0,1,1
27.0,10,3,1.0,3.0,6,1
27.0,11,3,2.0,2.0,5,1
27.0,12,2,0.0,1.0,3,0
27.0,13,2,1.0,0.0,7,0
27.0,14,2,0.0,0.0,17,1
27.0,15,2,2.0,1.0,20,1
27.0,16,4,1.0,3.0,18,0
27.0,17,4,0.0,0.0,14,0
27.0,17,3,0.0,2.0,4,1
27.0,18,2,3.0,1.0,16,1
27.0,19,2,1.0,1.0,2,1
27.0,20,4,1.0,2.0,15,0
