event,team,fixture_difficulty,GS,GA,opponent,is_home
23.0,1,5,1.0,3.0,13,1
23.0,1,3,1.0,1.0,4,1
23.0,2,5,1.0,3.0,13,0
23.0,3,3,1.0,1.0,15,1
23.0,4,4,1.0,1.0,1,0
23.0,5,2,1.0,1.0,7,0
23.0,6,3,1.0,1.0,19,0
23.0,7,3,1.0,1.0,5,1
23.0,8,4,0.0,2.0,12,0
23.0,9,2,2.0,0.0,16,1
23.0,10,3,4.0,1.0,18,1
23.0,11,3,0.0,2.0,14,1
23.0,12,2,2.0,0.0,8,1
23.0,13,2,3.0,1.0,2,1
23.0,13,4,3.0,1.0,1,0
23.0,14,2,2.0,0.0,11,0
23.0,15,2,1.0,1.0,3,0
23.0,16,2,0.0,2.0,9,0
23.0,17,2,1.0,2.0,20,1
23.0,18,3,1.0,4.0,10,0
23.0,19,3,1.0,1.0,6,1
23.0,20,2,2.0,1.0,17,0
