event,team,fixture_difficulty,GS,GA,opponent,is_home
37,1,2,0.0,1.0,16,0
37,2,4,1.0,1.0,12,0
37,3,3,0.0,1.0,14,1
37,4,4,3.0,1.0,18,0
37,5,2,3.0,1.0,17,1
37,5,5,1.0,1.0,13,1
37,6,5,0.0,1.0,13,0
37,6,4,1.0,4.0,14,0
37,7,2,2.0,2.0,9,0
37,8,2,1.0,1.0,20,0
37,9,2,2.0,2.0,7,1
37,10,4,0.0,0.0,15,0
37,11,3,1.0,3.0,19,0
37,12,2,1.0,1.0,2,1
37,13,3,1.0,1.0,5,0
37,13,3,1.0,0.0,6,1
37,14,2,1.0,0.0,3,0
37,14,3,4.0,1.0,6,1
37,15,3,0.0,0.0,10,1
37,16,4,1.0,0.0,1,1
37,17,3,1.0,3.0,5,0
37,18,3,1.0,3.0,4,1
37,19,2,3.0,1.0,11,1
37,20,2,1.0,1.0,8,1
