event,team,fixture_difficulty,GS,GA,opponent,is_home
27.0,1,2,1.0,1.0,4,0
27.0,2,3,0.0,0.0,20,1
27.0,3,4,1.0,2.0,9,1
27.0,4,3,1.0,1.0,1,1
27.0,5,4,2.0,0.0,7,1
27.0,6,4,1.0,4.0,17,0
27.0,7,4,0.0,2.0,5,0
27.0,8,4,1.0,0.0,11,0
27.0,9,2,2.0,1.0,3,0
27.0,10,4,0.0,2.0,19,0
27.0,11,2,0.0,1.0,8,1
27.0,12,4,0.0,2.0,13,1
27.0,12,2,5.0,2.0,16,1
27.0,13,5,2.0,0.0,12,0
27.0,14,2,0.0,0.0,18,0
27.0,15,2,0.0,2.0,16,1
27.0,16,2,2.0,0.0,15,0
27.0,16,5,2.0,5.0,12,0
27.0,17,3,4.0,1.0,6,1
27.0,18,2,0.0,0.0,14,1
27.0,19,3,2.0,0.0,10,1
27.0,20,3,0.0,0.0,2,0
