event,team,fixture_difficulty,GS,GA,opponent,is_home
7.0,1,2,4.0,0.0,3,0
7.0,2,3,6.0,1.0,5,1
7.0,3,4,0.0,4.0,1,1
7.0,4,2,1.0,1.0,16,0
7.0,5,3,1.0,6.0,2,0
7.0,6,2,2.0,1.0,12,0
7.0,6,4,0.0,2.0,15,0
7.0,7,2,2.0,0.0,10,0
7.0,8,4,1.0,0.0,14,0
7.0,9,2,1.0,2.0,12,1
7.0,10,3,0.0,2.0,7,1
7.0,11,3,1.0,2.0,18,0
7.0,12,2,2.0,1.0,9,0
7.0,12,2,1.0,2.0,6,1
7.0,13,2,1.0,2.0,20,0
7.0,14,2,0.0,1.0,8,1
7.0,15,2,2.0,0.0,6,1
7.0,16,3,1.0,1.0,4,1
7.0,17,3,0.0,2.0,19,0
7.0,18,4,2.0,1.0,11,1
7.0,19,2,2.0,0.0,17,1
7.0,20,5,2.0,1.0,13,1
