event,team,fixture_difficulty,GS,GA,opponent,is_home
24.0,1,2,4.0,2.0,10,1
24.0,2,2,0.0,0.0,3,0
24.0,3,3,0.0,0.0,2,1
24.0,4,3,3.0,0.0,6,0
24.0,4,2,1.0,1.0,8,1
24.0,5,2,2.0,0.0,14,1
24.0,6,2,0.0,3.0,4,1
24.0,7,4,1.0,3.0,12,1
24.0,7,2,0.0,2.0,8,1
24.0,8,3,2.0,0.0,7,0
24.0,8,2,1.0,1.0,4,0
24.0,9,4,3.0,1.0,11,1
24.0,10,3,2.0,4.0,1,0
24.0,11,4,1.0,3.0,9,0
24.0,12,4,3.0,0.0,17,1
24.0,12,3,3.0,1.0,7,0
24.0,13,2,1.0,1.0,18,0
24.0,14,4,0.0,2.0,5,0
24.0,15,3,0.0,3.0,19,0
24.0,16,3,1.0,2.0,20,1
24.0,17,5,0.0,3.0,12,0
24.0,18,4,1.0,1.0,13,1
24.0,19,2,3.0,0.0,15,1
24.0,20,3,2.0,1.0,16,0
