event,team,fixture_difficulty,GS,GA,opponent,is_home
15.0,1,2,1.0,2.0,4,1
15.0,2,4,1.0,2.0,6,0
15.0,3,2,0.0,1.0,7,0
15.0,4,4,2.0,1.0,1,0
15.0,5,4,1.0,4.0,11,1
15.0,6,2,2.0,1.0,2,1
15.0,7,2,1.0,0.0,3,1
15.0,8,5,2.0,5.0,10,0
15.0,9,2,2.0,0.0,18,1
15.0,10,2,5.0,2.0,8,1
15.0,11,3,4.0,1.0,5,0
15.0,12,4,2.0,1.0,17,1
15.0,13,3,2.0,0.0,15,0
15.0,14,2,1.0,2.0,16,0
15.0,15,2,0.0,2.0,13,1
15.0,16,2,2.0,1.0,14,1
15.0,17,4,1.0,2.0,12,0
15.0,18,4,0.0,2.0,9,0
15.0,19,3,0.0,2.0,20,0
15.0,20,2,2.0,0.0,19,1
