web_name,id,element_type,form,points_per_game,predicted_points_10,predicted_points_mean,predicted_points_10_raw,predicted_points_mean_raw
Kane,427.0,4,8.0,7.0,7.17,7.66,7.17,7.66
Haaland,318.0,4,14.5,12.0,8.55,6.64,8.55,6.64
Maddison,261.0,3,12.5,6.7,6.29,6.39,6.29,6.39
Son,428.0,3,10.5,4.8,5.87,5.62,6.4,6.12
Trippier,357.0,2,6.0,5.2,6.21,4.93,6.21,4.93
Mitrović,210.0,4,1.0,5.1,3.95,4.18,5.27,5.57
Gordon,195.0,3,1.5,3.1,4.18,4.16,4.55,4.53
Andreas,346.0,3,1.5,3.2,5.38,4.15,5.38,4.15
Cancelo,306.0,2,5.0,5.4,4.97,3.96,4.97,3.96
Ward,254.0,1,4.0,2.0,3.74,3.79,3.74,3.79
Pope,376.0,1,2.0,5.0,3.53,3.31,3.53,3.31
Young,538.0,2,6.5,3.8,1.5,2.09,3.36,4.68
S.Longstaff,370.0,3,4.0,2.6,2.2,2.08,4.25,4.02
N.Williams,295.0,2,0.0,1.5,0.0,0.0,4.51,3.31
Patterson,197.0,2,3.0,2.9,0.0,0.0,2.02,2.48
