web_name,id,element_type,form,points_per_game,predicted_points_6,predicted_points_mean,predicted_points_6_raw,predicted_points_mean_raw
Salah,283.0,3,7.0,7.0,6.5,7.37,6.5,7.37
Haaland,318.0,4,11.6,11.6,5.23,5.99,5.23,5.99
Jesus,28.0,4,6.4,6.4,5.63,5.96,5.63,5.96
Martinelli,19.0,3,6.8,6.8,5.74,5.52,5.74,5.52
Cancelo,306.0,2,6.2,6.2,4.99,5.37,4.99,5.37
Luis Díaz,293.0,3,5.8,5.8,5.44,5.24,5.44,5.24
Alexander-Arnold,285.0,2,4.6,4.6,4.58,5.09,4.58,5.09
James,146.0,2,4.4,5.5,5.24,4.53,5.24,4.53
Andreas,346.0,3,4.2,4.2,4.64,4.36,4.64,4.36
Estupiñán,586.0,2,3.7,3.7,3.17,4.32,3.17,4.32
Sánchez,113.0,1,5.4,5.4,3.33,3.56,3.33,3.56
Bernardo,311.0,3,6.0,6.0,2.85,3.53,4.04,5.0
N.Williams,295.0,2,1.6,1.6,3.28,2.69,3.28,2.69
Iversen,548.0,1,0.0,0.0,0.0,0.0,2.89,2.9
Archer,54.0,4,0.4,1.0,0.0,0.0,2.4,2.12
