web_name,id,element_type,form,points_per_game,predicted_points_10,predicted_points_mean,predicted_points_10_raw,predicted_points_mean_raw
Maddison,504.0,3,5.7,6.2,5.33,6.77,5.33,6.77
Haaland,355.0,4,4.0,7.0,6.18,6.27,6.18,6.27
Sterling,216.0,3,6.0,5.2,7.24,6.2,7.24,6.2
J.Alvarez,343.0,4,6.3,6.3,5.14,6.14,5.14,6.14
Trippier,430.0,2,9.3,6.6,5.31,5.93,5.31,5.93
Son,516.0,3,8.0,7.6,5.82,5.63,5.82,5.63
Watkins,60.0,4,13.0,7.8,4.01,4.71,4.01,4.71
Neto,567.0,3,4.3,5.2,3.47,4.29,3.47,4.29
Souček,542.0,3,6.0,3.9,4.69,3.85,4.69,3.85
Pope,424.0,1,4.7,3.9,3.16,3.82,3.16,3.82
Andersen,220.0,2,7.0,5.7,3.57,3.51,3.57,3.51
Cash,36.0,2,3.3,4.2,2.86,3.38,2.86,3.38
Turner,28.0,1,3.3,2.8,3.66,3.33,3.66,3.33
Udogie,519.0,2,2.7,3.7,2.31,2.1,3.08,2.8
Kaboré,602.0,2,1.0,1.8,1.14,1.64,1.63,2.34
