web_name,id,element_type,form,points_per_game,predicted_points_7,predicted_points_mean,predicted_points_7_raw,predicted_points_mean_raw
Salah,283.0,3,5.2,6.3,0.0,5.54,0.0,5.54
Martinelli,19.0,3,5.6,6.0,0.0,4.81,0.0,4.81
Jesus,28.0,4,6.2,5.5,0.0,4.65,0.0,4.65
Harrison,233.0,3,4.6,4.8,0.0,4.31,0.0,4.31
Luis Díaz,293.0,3,6.0,5.3,0.0,4.07,0.0,4.07
Alexander-Arnold,285.0,2,4.6,4.0,0.0,3.87,0.0,3.87
Trippier,357.0,2,4.6,5.0,0.0,3.71,0.0,3.71
Andreas,346.0,3,4.2,3.8,0.0,3.62,0.0,3.62
Haaland,318.0,4,10.8,11.2,0.0,3.5,0.0,3.5
Cancelo,306.0,2,5.2,5.5,0.0,3.15,0.0,3.15
James,146.0,2,3.2,4.6,0.0,2.96,0.0,2.96
N.Williams,295.0,2,2.4,2.0,0.0,2.49,0.0,2.49
Sánchez,113.0,1,4.8,4.7,0.0,2.22,0.0,2.22
Iversen,548.0,1,0.0,0.0,0.0,0.0,0.0,2.52
Archer,54.0,4,0.2,1.0,0.0,0.0,0.0,2.07
