web_name,id,element_type,form,points_per_game,predicted_points_29,predicted_points_mean,predicted_points_29_raw,predicted_points_mean_raw
Darwin,297.0,4,5.3,4.0,13.45,8.7,13.45,8.7
Toney,80.0,4,5.8,5.8,11.17,7.44,11.17,7.44
Maddison,261.0,3,2.3,5.2,9.98,6.67,9.98,6.67
Trippier,357.0,2,2.7,5.9,12.74,6.54,12.74,6.54
Harrison,233.0,3,7.3,3.8,10.59,6.5,10.59,6.5
Saka,13.0,3,8.8,6.1,5.12,5.35,5.12,5.35
Martinelli,19.0,3,8.2,5.6,4.76,5.12,4.76,5.12
Raya,81.0,1,3.2,4.4,8.86,4.85,8.86,4.85
Schär,366.0,2,1.3,4.4,8.24,4.85,8.24,4.85
Ward,254.0,1,4.3,3.5,8.08,4.62,8.08,4.62
Pinnock,92.0,2,4.2,3.4,7.79,4.62,7.79,4.62
Castagne,258.0,2,1.7,3.2,7.61,4.45,7.61,4.45
Kane,427.0,4,7.0,6.5,3.5,4.36,3.5,4.36
Zinchenko,313.0,2,5.0,4.2,3.73,3.1,3.73,3.1
Mitoma,124.0,3,8.3,4.8,6.12,3.09,10.83,5.48
