web_name,id,element_type,form,points_per_game,predicted_points_21,predicted_points_mean,predicted_points_21_raw,predicted_points_mean_raw
Ødegaard,7.0,3,8.8,6.6,7.13,8.84,7.13,8.84
Trippier,357.0,2,9.2,7.0,10.58,8.46,10.58,8.46
De Bruyne,301.0,3,2.2,5.6,5.11,7.89,5.11,7.89
Haaland,318.0,4,5.8,8.4,6.9,7.87,6.9,7.87
Martinelli,19.0,3,5.8,5.6,7.16,7.33,7.16,7.33
Kane,427.0,4,6.4,6.7,8.31,6.77,8.31,6.77
Almirón,369.0,3,4.0,5.7,7.63,6.37,7.63,6.37
White,10.0,2,4.5,4.7,5.53,6.14,5.53,6.14
Shaw,332.0,2,7.2,4.4,4.32,4.82,4.32,4.82
Andreas,346.0,3,3.0,3.8,4.74,4.4,4.74,4.4
Mitrović,210.0,4,4.0,5.1,4.02,4.24,4.02,4.24
Ward,254.0,1,2.0,3.6,2.43,3.7,2.43,3.7
Arrizabalaga,133.0,1,5.0,4.9,2.83,3.47,2.83,3.47
N.Williams,295.0,2,1.0,1.8,0.32,0.38,1.58,1.86
Patterson,197.0,2,0.2,1.8,0.0,0.0,3.25,2.91
