web_name,id,element_type,form,points_per_game,predicted_points_5,predicted_points_mean,predicted_points_5_raw,predicted_points_mean_raw
Salah,283.0,3,6.2,6.2,8.18,8.05,8.18,8.05
Haaland,318.0,4,10.2,10.2,6.59,6.58,6.59,6.58
Martinelli,19.0,3,6.0,6.0,6.73,6.3,6.73,6.3
Estupiñán,586.0,2,3.5,3.5,5.01,6.22,5.01,6.22
Alexander-Arnold,285.0,2,5.2,5.2,5.84,6.1,5.84,6.1
Jesus,28.0,4,6.5,6.5,6.3,5.81,6.3,5.81
Rodrigo,225.0,3,9.2,9.2,5.88,5.76,5.88,5.76
Cancelo,306.0,2,4.8,4.8,6.44,5.72,6.44,5.72
Luis Díaz,293.0,3,6.8,6.8,5.06,5.44,5.06,5.44
Andreas,346.0,3,3.8,3.8,5.02,5.08,5.02,5.08
Sánchez,113.0,1,6.5,6.5,3.63,4.61,3.63,4.61
James,146.0,2,5.5,5.5,3.29,4.59,3.29,4.59
N.Williams,295.0,2,2.2,2.2,2.92,2.9,2.92,2.9
Iversen,548.0,1,0.0,0.0,0.0,0.0,3.89,2.84
Archer,54.0,4,0.5,1.0,0.0,0.0,2.61,2.38
