web_name,id,element_type,form,points_per_game,predicted_points_8,predicted_points_mean,predicted_points_8_raw,predicted_points_mean_raw
Trippier,430.0,2,12.7,6.1,5.81,6.48,5.81,6.48
J.Alvarez,343.0,4,6.0,6.6,5.64,6.22,5.64,6.22
Watkins,60.0,4,12.3,7.7,6.09,5.98,6.09,5.98
Haaland,355.0,4,4.7,7.6,5.05,5.91,5.05,5.91
Neto,567.0,3,6.0,5.4,5.98,5.69,5.98,5.69
Son,516.0,3,7.7,7.3,5.42,5.41,5.42,5.41
Foden,353.0,3,5.0,5.1,4.97,4.96,4.97,4.96
Maddison,504.0,3,4.0,5.9,5.69,4.91,5.69,4.91
Andersen,220.0,2,7.3,6.4,5.2,4.72,5.2,4.72
Souček,542.0,3,3.7,3.5,3.86,3.84,3.86,3.84
Pope,424.0,1,6.0,3.9,4.15,3.76,4.15,3.76
Cash,36.0,2,4.3,4.9,4.03,3.76,4.03,3.76
Turner,28.0,1,2.0,2.6,2.88,3.01,2.88,3.01
Udogie,519.0,2,1.0,3.7,3.31,2.7,3.31,2.7
Kaboré,602.0,2,2.5,1.9,2.81,2.46,3.17,2.77
