web_name,id,element_type,form,points_per_game,predicted_points_36,predicted_points_mean,predicted_points_36_raw,predicted_points_mean_raw
Mac Allister,116.0,3,4.8,4.3,15.77,7.92,15.77,7.92
Estupiñán,586.0,2,3.8,3.5,12.32,6.52,12.32,6.52
Mitoma,124.0,3,2.6,4.5,10.94,5.69,10.94,5.69
Schär,366.0,2,2.0,4.0,13.17,5.1,13.17,5.1
Trippier,357.0,2,1.6,5.2,9.81,4.97,9.81,4.97
Haaland,318.0,4,8.8,8.1,5.14,4.37,5.14,4.37
Martinelli,19.0,3,4.4,5.6,5.4,3.49,5.4,3.49
Kane,427.0,4,7.0,6.7,4.04,3.37,4.04,3.37
Bowen,465.0,3,3.7,3.7,3.38,3.31,3.38,3.31
Saka,13.0,3,4.0,5.5,4.77,3.12,4.77,3.12
Toney,80.0,4,4.4,5.5,7.04,3.01,7.04,3.01
Pinnock,92.0,2,2.6,3.3,4.1,2.02,4.1,2.02
Raya,81.0,1,4.2,4.3,3.09,1.86,3.09,1.86
Castagne,258.0,2,2.8,3.1,1.82,1.75,1.82,1.75
Ward,254.0,1,0.0,3.5,0.0,0.0,2.9,2.15
