web_name,id,element_type,form,points_per_game,predicted_points_15,predicted_points_mean,predicted_points_15_raw,predicted_points_mean_raw
Trossard,111.0,3,4.2,6.1,6.88,7.44,6.88,7.44
Kane,427.0,4,5.4,6.4,6.54,7.18,6.54,7.18
Trippier,357.0,2,7.0,5.9,5.96,6.22,5.96,6.22
Jesus,28.0,4,4.5,5.4,5.43,6.18,5.43,6.18
Martinelli,19.0,3,6.2,5.7,5.84,6.02,5.84,6.02
Saka,13.0,3,7.2,5.7,6.1,5.94,6.1,5.94
Cancelo,306.0,2,7.0,5.9,6.08,5.8,6.08,5.8
Andreas,346.0,3,5.4,4.1,5.08,4.85,5.08,4.85
Haaland,318.0,4,5.2,10.6,4.34,4.78,5.79,6.37
Groß,104.0,3,3.0,4.9,4.19,4.64,4.19,4.64
Pope,376.0,1,4.4,4.8,4.01,4.31,4.01,4.31
Ward,254.0,1,5.4,3.3,3.84,4.07,3.84,4.07
Young,538.0,2,3.8,3.8,4.54,3.7,4.54,3.7
N.Williams,295.0,2,3.2,2.2,3.55,3.66,4.25,4.38
Patterson,197.0,2,0.2,2.6,0.17,0.17,3.14,3.06
