web_name,id,element_type,form,points_per_game,predicted_points_38,predicted_points_mean,predicted_points_38_raw,predicted_points_mean_raw
Kane,427.0,4,7.5,6.7,6.3,1.26,6.3,1.26
Haaland,318.0,4,5.2,7.8,6.13,1.23,6.13,1.23
Mitoma,124.0,3,3.0,4.3,6.09,1.22,6.09,1.22
Castagne,258.0,2,2.0,3.1,5.94,1.19,5.94,1.19
Wilson,356.0,4,8.0,5.2,5.89,1.18,5.89,1.18
Bowen,465.0,3,4.2,3.9,5.82,1.16,5.82,1.16
Gündogan,300.0,3,6.0,4.3,5.14,1.03,5.14,1.03
Estupiñán,586.0,2,5.3,3.7,4.79,0.96,4.79,0.96
Trippier,357.0,2,4.6,5.4,4.69,0.94,4.69,0.94
Mac Allister,116.0,3,4.1,4.1,4.71,0.94,4.71,0.94
Saka,13.0,3,2.2,5.3,4.67,0.94,6.23,1.25
Schär,366.0,2,1.6,3.9,3.82,0.76,3.82,0.76
Raya,81.0,1,4.0,4.3,3.18,0.64,3.18,0.64
Pinnock,92.0,2,3.2,3.3,2.99,0.6,2.99,0.6
Ward,254.0,1,0.0,3.5,0.0,0.0,3.95,0.79
