web_name,id,element_type,form,points_per_game,predicted_points_22,predicted_points_mean,predicted_points_22_raw,predicted_points_mean_raw
De Bruyne,301.0,3,3.5,5.6,6.96,8.19,6.96,8.19
Haaland,318.0,4,6.8,8.9,6.14,7.42,6.14,7.42
Gnonto,619.0,4,4.3,2.6,11.3,7.01,11.3,7.01
Rashford,335.0,3,6.3,5.4,13.32,6.79,13.32,6.79
Martinelli,19.0,3,2.0,5.4,5.82,6.52,5.82,6.52
Kane,427.0,4,7.2,6.7,3.74,5.67,3.74,5.67
Trippier,357.0,2,8.5,7.0,8.34,5.61,8.34,5.61
White,10.0,2,4.0,4.4,4.92,4.77,4.92,4.77
Arrizabalaga,133.0,1,5.5,5.2,4.2,4.52,4.2,4.52
Shaw,332.0,2,1.3,4.1,9.72,4.48,9.72,4.48
Andreas,346.0,3,2.7,3.7,4.96,4.38,4.96,4.38
Almirón,369.0,3,3.0,5.6,5.75,4.07,5.75,4.07
Ward,254.0,1,1.5,3.5,4.97,3.84,4.97,3.84
N.Williams,295.0,2,1.0,1.8,1.1,0.9,3.77,3.09
Patterson,197.0,2,0.0,1.8,0.0,0.0,2.91,3.18
