web_name,id,element_type,form,points_per_game,predicted_points_25,predicted_points_mean,predicted_points_25_raw,predicted_points_mean_raw
Nketiah,11.0,4,2.5,2.5,15.58,9.51,15.58,9.51
Gakpo,680.0,3,5.3,4.2,11.4,9.33,11.4,9.33
Tarkowski,199.0,2,8.0,3.0,11.32,8.7,11.32,8.7
Martinelli,19.0,3,3.0,5.0,13.43,8.37,13.43,8.37
Kane,427.0,4,5.0,6.5,6.01,8.02,6.01,8.02
White,10.0,2,1.5,3.9,10.02,7.47,10.02,7.47
Haaland,318.0,4,3.5,8.0,7.16,7.44,7.16,7.44
Ward,254.0,1,2.3,3.3,2.01,5.27,2.01,5.27
Akanji,610.0,2,1.0,2.8,2.76,4.94,2.76,4.94
De Bruyne,301.0,3,4.5,5.4,2.2,3.86,2.94,5.14
Rashford,335.0,3,10.8,6.3,0.0,3.63,0.0,3.63
Arrizabalaga,133.0,1,4.7,5.1,1.21,3.06,1.21,3.06
N.Williams,295.0,2,2.0,1.9,1.28,2.54,2.1,4.16
Andreas,346.0,3,3.7,3.7,4.74,2.47,4.74,2.47
Patterson,197.0,2,0.0,1.8,0.0,0.0,7.58,3.96
