web_name,id,element_type,form,points_per_game,predicted_points_6,predicted_points_mean,predicted_points_6_raw,predicted_points_mean_raw
Doku,678.0,3,3.7,5.5,6.18,6.28,6.18,6.28
Saka,19.0,3,6.0,6.2,6.22,5.89,6.22,5.89
Rashford,396.0,3,5.3,4.2,5.45,5.71,5.45,5.71
J.Alvarez,343.0,4,8.3,7.4,7.53,5.71,7.53,5.71
N.Jackson,211.0,4,3.0,2.2,6.47,4.97,6.47,4.97
B.Fernandes,373.0,3,5.0,3.8,4.36,4.77,4.36,4.77
Haaland,355.0,4,10.0,9.0,7.44,4.64,7.44,4.64
Chilwell,195.0,2,2.3,3.0,4.66,4.18,4.66,4.18
Estupiñan,131.0,2,1.0,5.2,4.24,4.02,4.24,4.02
Andersen,220.0,2,4.3,4.8,3.2,4.01,3.2,4.01
Mitoma,143.0,3,2.7,5.0,3.63,3.9,3.63,3.9
Turner,28.0,1,3.3,2.8,3.26,3.51,3.26,3.51
Digne,42.0,2,3.7,4.0,3.92,3.31,3.92,3.31
Onana,597.0,1,0.7,2.6,3.58,2.7,5.12,3.86
Baldock,473.0,2,0.7,1.3,0.38,0.34,2.17,1.9
