web_name,id,element_type,form,points_per_game,predicted_points_11,predicted_points_mean,predicted_points_11_raw,predicted_points_mean_raw
Trossard,111.0,3,11.0,6.8,7.21,6.57,7.21,6.57
Maddison,261.0,3,8.7,6.0,6.47,6.5,6.47,6.5
Kane,427.0,4,7.7,7.0,5.86,6.47,5.86,6.47
Haaland,318.0,4,11.7,11.3,7.47,5.85,7.47,5.85
Son,428.0,3,9.0,4.9,5.23,5.79,5.23,5.79
Trippier,357.0,2,6.3,5.4,4.77,4.91,4.77,4.91
Young,538.0,2,8.0,5.2,4.89,4.78,4.89,4.78
Andreas,346.0,3,3.0,3.6,5.1,4.74,5.1,4.74
Cancelo,306.0,2,9.3,6.8,4.6,4.0,4.6,4.0
Pope,376.0,1,2.0,4.7,3.42,3.98,3.42,3.98
Ward,254.0,1,3.0,1.9,3.78,3.78,3.78,3.78
S.Longstaff,370.0,3,3.3,2.6,2.39,2.31,4.07,3.92
Mitrović,210.0,4,0.7,5.1,2.07,2.11,3.94,4.03
N.Williams,295.0,2,0.3,1.4,0.85,0.75,3.45,3.03
Patterson,197.0,2,2.0,2.9,0.0,0.0,1.87,2.8
