web_name,id,element_type,form,points_per_game,predicted_points_26,predicted_points_mean,predicted_points_26_raw,predicted_points_mean_raw
Toney,80.0,4,4.0,5.8,5.86,7.17,5.86,7.17
Raya,81.0,1,5.3,4.7,4.37,6.52,4.37,6.52
Martinelli,19.0,3,6.3,5.6,6.13,6.46,6.13,6.46
Saka,13.0,3,6.3,5.9,5.44,5.87,5.44,5.87
Pinnock,92.0,2,3.3,3.2,3.87,5.61,3.87,5.61
Kane,427.0,4,5.2,6.4,6.02,5.58,6.02,5.58
Haaland,318.0,4,4.8,8.0,6.4,5.29,6.4,5.29
Mitoma,124.0,3,5.0,4.2,4.28,4.98,4.28,4.98
Zinchenko,313.0,2,4.8,4.4,5.17,4.97,5.17,4.97
Rashford,335.0,3,10.8,6.3,4.66,4.96,4.66,4.96
Badiashile,689.0,2,2.2,4.6,4.19,4.91,4.19,4.91
Ward,254.0,1,2.2,3.2,4.35,4.61,4.35,4.61
Castagne,258.0,2,2.0,3.4,4.4,4.5,4.4,4.5
Maddison,261.0,3,5.0,5.8,4.25,4.4,5.67,5.87
Schär,366.0,2,1.7,4.6,3.49,3.83,3.49,3.83
