web_name,id,element_type,form,points_per_game,predicted_points_11,predicted_points_mean,predicted_points_11_raw,predicted_points_mean_raw
Haaland,355.0,4,8.7,7.9,6.21,7.37,6.21,7.37
Son,516.0,3,9.0,7.8,6.59,6.88,6.59,6.88
Mbeumo,108.0,3,9.7,6.7,5.79,5.89,5.79,5.89
Maddison,504.0,3,7.0,6.2,5.37,5.87,5.37,5.87
Watkins,60.0,4,6.0,7.2,4.63,5.81,4.63,5.81
J.Alvarez,343.0,4,4.3,5.9,6.35,5.7,6.35,5.7
Sterling,216.0,3,6.7,4.9,5.92,4.84,5.92,4.84
Trippier,430.0,2,5.3,5.9,5.38,4.8,5.38,4.8
Andersen,220.0,2,3.0,5.4,4.51,3.84,4.51,3.84
Pope,424.0,1,3.3,3.7,2.91,3.72,2.91,3.72
Cash,36.0,2,3.0,4.3,3.28,3.57,3.28,3.57
Souček,542.0,3,3.7,3.6,3.36,3.18,3.45,3.26
Turner,28.0,1,3.0,2.7,3.31,3.07,3.31,3.07
Udogie,519.0,2,2.3,3.7,1.66,1.14,3.32,2.29
Kaboré,602.0,2,0.3,1.6,0.38,0.44,1.71,1.94
