web_name,id,element_type,form,points_per_game,predicted_points_12,predicted_points_mean,predicted_points_12_raw,predicted_points_mean_raw
Trippier,357.0,2,6.7,5.5,6.62,6.74,6.62,6.74
Trossard,111.0,3,8.0,6.2,6.97,6.56,6.97,6.56
Son,428.0,3,3.7,4.7,6.45,6.43,6.45,6.43
Kane,427.0,4,7.3,7.2,6.81,6.32,6.81,6.32
Groß,104.0,3,2.0,5.3,7.52,6.27,7.52,6.27
Andreas,346.0,3,4.3,3.7,5.87,5.52,5.87,5.52
Young,538.0,2,6.7,4.5,6.28,5.37,6.28,5.37
Ward,254.0,1,5.0,2.3,4.56,4.43,4.56,4.43
Mitrović,210.0,4,2.3,5.3,4.38,4.26,4.38,4.26
Pope,376.0,1,3.3,4.8,4.84,4.23,4.84,4.23
S.Longstaff,370.0,3,4.0,2.6,2.86,2.76,4.42,4.26
Cancelo,306.0,2,7.0,6.3,0.0,2.38,0.0,2.38
Haaland,318.0,4,10.3,10.4,0.0,2.13,0.0,2.13
N.Williams,295.0,2,0.7,1.5,1.81,2.12,3.01,3.53
Patterson,197.0,2,1.5,2.9,0.0,0.0,2.09,3.17
