web_name,id,element_type,form,points_per_game,predicted_points_34,predicted_points_mean,predicted_points_34_raw,predicted_points_mean_raw
Haaland,318.0,4,9.5,8.3,12.84,10.51,12.84,10.51
Grealish,305.0,3,8.0,4.5,12.59,9.85,12.59,9.85
March,107.0,3,5.0,4.8,11.1,8.91,11.1,8.91
Mitoma,124.0,3,4.0,4.6,10.29,7.93,10.29,7.93
Trippier,357.0,2,3.5,5.5,6.34,6.26,6.34,6.26
Saka,13.0,3,3.4,5.7,7.61,6.2,7.61,6.2
Bowen,465.0,3,4.8,3.8,9.35,6.17,9.35,6.17
Kane,427.0,4,7.0,6.6,5.19,5.41,5.19,5.41
Schär,366.0,2,3.8,4.3,4.14,5.17,4.14,5.17
Toney,80.0,4,4.7,5.6,3.37,3.2,3.37,3.2
Castagne,258.0,2,3.5,3.2,1.94,2.88,1.94,2.88
Zinchenko,313.0,2,0.6,3.6,3.56,2.75,5.93,4.59
Raya,81.0,1,4.0,4.4,2.18,2.69,2.18,2.69
Pinnock,92.0,2,3.2,3.4,1.83,2.09,1.83,2.09
Ward,254.0,1,0.0,3.5,0.0,0.0,2.47,3.5
