event,bank,event_transfers,event_transfers_cost,overall_rank,points_on_bench,rank,rank_sort,total_points,value,points,predicted_points,points - predicted_points
1,0,0,0,572579,10,572579,658882,81,1000,81,0.0,0.0
2,0,0,0,1415203,6,4202702,4268849,126,1003,45,0.0,45.0
3,4,1,0,1088967,8,2332672,2377494,177,1005,51,69.69,-18.69
4,3,1,0,4339851,13,9145403,9149245,222,1008,45,69.3,-24.3
5,16,1,0,4394978,2,5059489,5132798,266,1005,44,64.73,-20.73
6,5,2,0,5513583,21,8364467,8375442,320,1005,54,67.26,-13.26
7,18,1,0,5163099,12,3886585,3922873,372,1006,52,63.71,-11.71
8,4,0,0,5006672,20,4430289,4490176,417,1002,45,64.12,-19.12
9,4,0,0,3747626,5,1337490,1378287,503,1010,86,59.05,26.95
10,10,1,0,4731909,7,9107633,9120335,554,1012,51,60.55,-9.55
11,0,1,0,4212126,5,1916584,1944837,594,1014,40,63.53,-23.53
12,0,0,0,0,0,0,0,0,0,0,63.23,0.0
