web_name,id,element_type,form,points_per_game,predicted_points_2,predicted_points_mean,predicted_points_2_raw,predicted_points_mean_raw
Haaland,318,4,13.0,13.0,3.9,3.94,3.9,3.94
Dier,430,2,8.0,8.0,3.12,3.51,3.12,3.51
Martinelli,19,3,8.0,8.0,3.44,3.46,3.44,3.46
Salah,283,3,12.0,12.0,3.13,3.09,3.13,3.09
Rashford,335,3,2.0,2.0,3.19,3.07,3.19,3.07
Jesus,28,4,2.0,2.0,2.83,2.95,2.83,2.95
James,146,2,7.0,7.0,2.91,2.92,2.91,2.92
Cancelo,306,2,7.0,7.0,2.94,2.72,2.94,2.72
Alexander-Arnold,285,2,1.0,1.0,2.86,2.68,2.86,2.68
Andreas,346,3,2.0,2.0,2.76,2.6,2.76,2.6
Ward,254,1,1.0,1.0,2.68,2.56,2.68,2.56
Luis Díaz,293,3,2.0,2.0,2.93,2.2,2.93,2.2
Iversen,548,1,0.0,0.0,0.0,0.0,1.82,2.23
N.Williams,295,2,0.0,0.0,0.0,0.0,3.2,2.73
Archer,54,4,1.0,1.0,0.0,0.0,2.67,2.35
