web_name,id,element_type,form,points_per_game,predicted_points_32,predicted_points_mean,predicted_points_32_raw,predicted_points_mean_raw
Martinelli,19.0,3,7.7,5.8,9.45,7.89,9.45,7.89
Trippier,357.0,2,4.2,5.7,6.74,7.71,6.74,7.71
Bowen,465.0,3,5.2,3.8,3.83,6.86,3.83,6.86
Kane,427.0,4,6.0,6.5,4.56,4.95,4.56,4.95
Toney,80.0,4,4.2,5.6,5.38,4.8,5.38,4.8
Schär,366.0,2,3.2,4.2,5.05,4.74,5.05,4.74
Castagne,258.0,2,2.2,3.1,4.36,4.61,4.36,4.61
Saka,13.0,3,0.7,5.5,5.48,4.35,7.83,6.22
Raya,81.0,1,3.2,4.3,3.97,4.09,3.97,4.09
Harrison,233.0,3,3.5,3.7,3.96,3.89,3.96,3.89
Pinnock,92.0,2,2.8,3.3,2.85,3.28,2.85,3.28
Mitoma,124.0,3,4.5,4.8,0.0,2.44,0.0,2.44
Zinchenko,313.0,2,1.0,4.0,1.79,1.86,3.58,3.73
Haaland,318.0,4,8.0,8.1,0.0,0.76,0.0,0.76
Ward,254.0,1,0.0,3.5,0.0,0.0,3.82,3.65
