web_name,id,element_type,form,points_per_game,predicted_points_8,predicted_points_mean,predicted_points_8_raw,predicted_points_mean_raw
Kane,427,4,7.5,6.7,7.57,6.76,7.57,6.76
Son,428,3,2.5,2.8,7.73,6.37,7.73,6.37
Trippier,357,2,4.0,5.0,7.9,6.03,7.9,6.03
Mitrović,210,4,6.8,6.5,6.95,5.92,6.95,5.92
Gordon,195,3,4.5,3.7,4.99,5.81,4.99,5.81
Andreas,346,3,4.5,3.8,5.23,5.37,5.23,5.37
Haaland,318,4,12.2,11.2,5.07,5.29,5.07,5.29
N.Williams,295,2,1.2,2.0,5.98,4.99,5.98,4.99
Pope,376,1,5.0,6.0,6.44,4.97,6.44,4.97
Ødegaard,7,3,7.2,5.7,5.69,4.95,5.69,4.95
Cancelo,306,2,3.8,5.5,5.36,4.76,5.36,4.76
Emerson Royal,445,2,4.0,4.3,4.6,4.75,4.6,4.75
Patterson,197,2,2.8,2.3,4.92,4.51,4.92,4.51
Ward,254,1,1.5,1.3,1.31,3.33,1.31,3.33
S.Longstaff,370,3,2.8,2.2,2.54,2.31,5.03,4.56
