web_name,id,element_type,form,points_per_game,predicted_points_4,predicted_points_mean,predicted_points_4_raw,predicted_points_mean_raw
Salah,283.0,3,7.3,7.3,8.05,8.11,8.05,8.11
Rodrigo,225.0,3,11.7,11.7,7.26,6.66,7.26,6.66
Jesus,28.0,4,8.3,8.3,6.1,6.37,6.1,6.37
Luis Díaz,293.0,3,4.3,4.3,6.0,5.8,6.0,5.8
Haaland,318.0,4,8.0,8.0,5.24,5.44,5.24,5.44
James,146.0,2,5.0,5.0,6.09,5.33,6.09,5.33
Alexander-Arnold,285.0,2,1.3,1.3,6.23,5.25,6.23,5.25
Martinelli,19.0,3,7.3,7.3,5.38,5.14,5.38,5.14
Andreas,346.0,3,4.3,4.3,4.53,4.6,4.53,4.6
Sánchez,113.0,1,6.0,6.0,4.75,4.46,4.75,4.46
Cancelo,306.0,2,6.0,6.0,4.33,4.32,4.33,4.32
Dier,430.0,2,5.0,5.0,2.57,4.17,2.57,4.17
N.Williams,295.0,2,2.7,2.7,3.71,3.65,3.71,3.65
Iversen,548.0,1,0.0,0.0,0.0,0.0,3.03,2.87
Archer,54.0,4,0.3,1.0,0.0,0.0,3.53,3.36
