web_name,id,element_type,form,points_per_game,predicted_points_7,predicted_points_mean,predicted_points_7_raw,predicted_points_mean_raw
Haaland,355.0,4,10.7,8.5,5.13,5.66,5.13,5.66
Morris,326.0,4,5.3,5.2,9.33,5.39,9.33,5.39
Rashford,396.0,3,4.0,4.0,5.51,5.28,5.51,5.28
Doku,678.0,3,4.0,4.0,4.98,4.96,4.98,4.96
B.Fernandes,373.0,3,4.3,4.8,4.83,4.92,4.83,4.92
J.Alvarez,343.0,4,8.0,6.3,3.96,4.83,3.96,4.83
Mitoma,143.0,3,7.0,6.5,5.8,4.77,5.8,4.77
Estupiñan,131.0,2,2.7,5.4,4.59,4.22,4.59,4.22
Andersen,220.0,2,2.7,5.0,3.78,3.85,3.78,3.85
Turner,28.0,1,2.7,2.5,3.68,3.74,3.68,3.74
Onana,597.0,1,3.0,3.3,3.61,3.71,3.61,3.71
Digne,42.0,2,3.7,4.2,2.79,3.2,2.79,3.2
Saka,19.0,3,7.7,7.3,1.94,2.92,3.89,5.83
Baldock,473.0,2,0.3,1.3,0.24,0.2,3.2,2.61
Chilwell,195.0,2,0.3,2.5,0.0,0.0,3.42,3.32
