web_name,id,element_type,form,points_per_game,predicted_points_31,predicted_points_mean,predicted_points_31_raw,predicted_points_mean_raw
Kane,427.0,4,7.3,6.6,6.66,6.5,6.66,6.5
Trippier,357.0,2,4.5,5.9,7.28,6.48,7.28,6.48
Gakpo,680.0,3,1.7,3.8,3.64,5.92,3.64,5.92
Martinelli,19.0,3,8.3,5.8,4.99,5.71,4.99,5.71
Saka,13.0,3,6.7,5.7,4.3,5.51,4.3,5.51
Haaland,318.0,4,6.0,8.0,5.51,5.44,5.51,5.44
Schär,366.0,2,3.8,4.4,4.6,4.82,4.6,4.82
Toney,80.0,4,4.2,5.7,4.68,4.26,4.68,4.26
Mitoma,124.0,3,5.3,4.9,4.24,4.06,4.24,4.06
Zinchenko,313.0,2,1.7,4.0,4.09,3.83,4.09,3.83
Harrison,233.0,3,5.2,3.8,3.6,3.39,3.6,3.39
Raya,81.0,1,2.5,4.3,2.65,3.21,2.65,3.21
Pinnock,92.0,2,3.0,3.4,3.59,2.71,3.59,2.71
Castagne,258.0,2,2.5,3.1,0.49,2.4,0.49,2.4
Ward,254.0,1,0.0,3.5,-0.0,0.0,-0.73,2.0
