web_name,id,element_type,form,points_per_game,predicted_points_13,predicted_points_mean,predicted_points_13_raw,predicted_points_mean_raw
Haaland,318,4,10.3,10.4,7.06,7.14,7.06,7.14
Kane,427,4,6.0,6.7,7.25,6.4,7.25,6.4
Son,428,3,3.2,4.5,6.63,6.14,6.63,6.14
Trossard,111,3,6.8,5.9,6.35,6.07,6.35,6.07
Cancelo,306,2,7.0,6.3,5.36,5.56,5.36,5.56
Trippier,357,2,7.2,5.8,3.95,5.45,3.95,5.45
Mitrović,210,4,3.2,5.4,6.13,4.94,6.13,4.94
Groß,104,3,2.2,5.1,4.22,4.61,4.22,4.61
Andreas,346,3,4.0,3.6,5.17,4.43,5.17,4.43
Ward,254,1,6.0,2.9,4.63,4.08,4.63,4.08
Pope,376,1,4.0,4.9,4.51,4.01,4.51,4.01
Young,538,2,5.2,4.0,4.14,3.68,4.14,3.68
S.Longstaff,370,3,3.8,2.6,4.16,3.42,4.16,3.42
N.Williams,295,2,2.0,1.9,2.2,2.14,2.49,2.42
Patterson,197,2,0.0,2.9,0.0,0.0,3.54,3.46
