web_name,id,element_type,form,points_per_game,predicted_points_24,predicted_points_mean,predicted_points_24_raw,predicted_points_mean_raw
Nketiah,11.0,4,5.2,2.5,6.7,6.44,6.7,6.44
Haaland,318.0,4,7.0,8.2,6.55,5.59,6.55,5.59
Martinelli,19.0,3,2.0,4.9,6.54,5.33,6.54,5.33
Kane,427.0,4,5.2,6.5,5.82,5.23,5.82,5.23
Gakpo,680.0,3,4.3,3.8,3.04,4.84,3.04,4.84
De Bruyne,301.0,3,4.4,5.6,4.83,4.7,4.83,4.7
White,10.0,2,1.2,4.0,3.57,4.58,3.57,4.58
Akanji,610.0,2,2.2,2.8,2.58,4.24,2.58,4.24
Ward,254.0,1,2.0,3.4,3.61,4.11,3.61,4.11
Rashford,335.0,3,7.4,5.9,4.32,2.85,4.32,2.85
Andreas,346.0,3,3.3,3.7,3.83,2.59,3.83,2.59
Shaw,332.0,2,4.0,4.4,1.52,1.97,1.52,1.97
Arrizabalaga,133.0,1,7.0,5.4,3.13,1.91,3.13,1.91
N.Williams,295.0,2,2.0,1.9,0.09,1.15,0.14,1.77
Patterson,197.0,2,0.0,1.8,0.0,0.0,6.04,4.96
