web_name,id,element_type,form,points_per_game,predicted_points_30,predicted_points_mean,predicted_points_30_raw,predicted_points_mean_raw
Bowen,465.0,3,3.3,3.6,5.31,7.26,5.31,7.26
Darwin,297.0,4,1.7,3.8,6.14,6.83,6.14,6.83
Saka,13.0,3,7.3,5.9,7.72,6.72,7.72,6.72
Kane,427.0,4,8.7,6.5,5.79,6.72,5.79,6.72
Trippier,357.0,2,5.2,6.0,5.7,6.27,5.7,6.27
Maddison,261.0,3,2.5,5.0,5.9,6.0,5.9,6.0
Martinelli,19.0,3,6.7,5.6,6.33,5.98,6.33,5.98
Toney,80.0,4,5.2,5.8,6.4,4.55,6.4,4.55
Castagne,258.0,2,2.2,3.2,4.51,4.47,4.51,4.47
Schär,366.0,2,3.8,4.5,3.02,4.28,3.02,4.28
Zinchenko,313.0,2,3.3,4.1,4.04,4.23,4.04,4.23
Harrison,233.0,3,7.5,3.9,4.27,4.1,4.27,4.1
Pinnock,92.0,2,3.8,3.5,3.69,3.46,3.69,3.46
Raya,81.0,1,3.8,4.4,3.16,3.32,3.16,3.32
Ward,254.0,1,0.5,3.5,2.11,2.0,4.22,4.0
