web_name,id,element_type,form,points_per_game,predicted_points_39,predicted_points_mean,predicted_points_39_raw,predicted_points_mean_raw
Raya,81.0,1,5.0,4.4,0.0,0.0,0.0,0.0
Ward,254.0,1,0.0,3.5,0.0,0.0,0.0,0.0
Castagne,258.0,2,2.2,3.1,0.0,0.0,0.0,0.0
Trippier,357.0,2,4.2,5.2,0.0,0.0,0.0,0.0
Schär,366.0,2,1.6,3.9,0.0,0.0,0.0,0.0
Pinnock,92.0,2,6.5,3.7,0.0,0.0,0.0,0.0
Saliba,26.0,2,0.0,4.3,0.0,0.0,0.0,0.0
Bowen,465.0,3,4.5,3.8,0.0,0.0,0.0,0.0
Gündogan,300.0,3,6.8,4.3,0.0,0.0,0.0,0.0
Mac Allister,116.0,3,3.2,4.0,0.0,0.0,0.0,0.0
Mitoma,124.0,3,3.0,4.2,0.0,0.0,0.0,0.0
Saka,13.0,3,3.2,5.3,0.0,0.0,0.0,0.0
Wilson,356.0,4,5.8,5.1,0.0,0.0,0.0,0.0
Haaland,318.0,4,3.0,7.8,0.0,0.0,0.0,0.0
Kane,427.0,4,9.5,6.9,0.0,0.0,0.0,0.0
