web_name,id,element_type,form,points_per_game,predicted_points_20,predicted_points_mean,predicted_points_20_raw,predicted_points_mean_raw
Haaland,318.0,4,7.0,9.0,14.62,13.42,14.62,13.42
Shaw,332.0,2,10.7,4.8,17.55,12.97,17.55,12.97
Kane,427.0,4,8.3,7.1,21.16,12.15,21.16,12.15
Rashford,335.0,3,9.0,5.2,12.91,9.45,12.91,9.45
De Bruyne,301.0,3,2.0,5.6,10.33,8.81,10.33,8.81
Martinelli,19.0,3,7.0,5.8,2.82,4.72,2.82,4.72
Mitrović,210.0,4,5.0,5.4,5.59,4.69,5.59,4.69
Andreas,346.0,3,3.2,3.9,6.01,4.57,6.01,4.57
Cancelo,306.0,2,0.7,4.5,5.54,4.29,9.9,7.66
Almirón,369.0,3,4.3,5.9,3.58,4.28,3.58,4.28
White,10.0,2,3.3,4.5,2.53,3.58,2.53,3.58
Ward,254.0,1,2.0,3.7,3.96,3.53,3.96,3.53
Arrizabalaga,133.0,1,3.8,4.4,3.11,3.45,3.11,3.45
N.Williams,295.0,2,1.0,1.8,1.06,1.2,1.97,2.23
Patterson,197.0,2,0.3,1.8,0.0,0.0,4.86,3.64
