web_name,id,element_type,form,points_per_game,predicted_points_28,predicted_points_mean,predicted_points_28_raw,predicted_points_mean_raw
Martinelli,19.0,3,7.3,5.6,8.87,7.49,8.87,7.49
Almirón,369.0,3,4.0,5.4,4.48,7.06,4.48,7.06
Saka,13.0,3,5.8,5.6,7.55,6.56,7.55,6.56
Maddison,261.0,3,1.2,5.3,5.0,6.54,5.0,6.54
Trippier,357.0,2,2.3,6.1,4.91,6.45,4.91,6.45
Zinchenko,313.0,2,5.5,4.3,7.02,6.41,7.02,6.41
Toney,80.0,4,5.8,6.0,4.56,6.37,4.56,6.37
Kane,427.0,4,6.5,6.5,6.19,6.31,6.19,6.31
Raya,81.0,1,3.5,4.5,2.49,5.1,2.49,5.1
Pinnock,92.0,2,4.2,3.5,2.75,4.81,2.75,4.81
Castagne,258.0,2,1.5,3.2,2.57,4.68,2.57,4.68
Ward,254.0,1,4.2,3.5,3.28,4.64,3.28,4.64
Schär,366.0,2,1.0,4.5,3.35,4.14,4.47,5.52
Mitoma,124.0,3,6.8,4.8,0.0,1.18,0.0,1.18
Haaland,318.0,4,5.6,7.8,0.0,0.55,0.0,0.55
