web_name,id,element_type,form,points_per_game,predicted_points_5,predicted_points_mean,predicted_points_5_raw,predicted_points_mean_raw
J.Alvarez,343.0,4,7.7,7.0,8.1,7.19,8.1,7.19
Saka,19.0,3,5.0,6.2,5.29,5.71,5.29,5.71
Mitoma,143.0,3,6.0,5.8,4.55,5.62,4.55,5.62
B.Fernandes,373.0,3,5.0,4.5,6.11,5.6,6.11,5.6
Haaland,355.0,4,8.7,9.8,5.73,4.78,5.73,4.78
Rashford,396.0,3,5.3,4.8,4.9,4.74,4.9,4.74
Estupiñan,131.0,2,4.7,5.2,3.57,4.68,3.57,4.68
Andersen,220.0,2,4.7,5.8,5.61,4.42,5.61,4.42
Chilwell,195.0,2,2.7,3.8,4.26,4.28,4.26,4.28
Martinelli,12.0,3,3.3,3.8,4.34,4.27,4.34,4.27
Digne,42.0,2,5.3,3.8,3.83,4.17,3.83,4.17
Turner,28.0,1,3.3,3.0,3.91,3.87,3.91,3.87
Onana,597.0,1,0.7,2.8,2.06,2.32,2.94,3.31
Osula,490.0,4,1.0,1.3,1.54,1.7,3.09,3.41
Baldock,473.0,2,0.7,1.3,1.2,0.94,3.43,2.69
